Date,Open,High,Low,Close,Volume
2011-08-19,10.9,10.9,10.9,10.9,0.49
2011-08-20,11.85,11.85,11.15,11.69,1.93
2011-08-21,11.7,11.7,11.7,11.7,0.09
2011-08-22,11.7,11.7,11.7,11.7,0.09
2011-08-23,11.7,11.7,11.7,11.7,0.03
2011-08-24,11.7,11.7,11.7,11.7,0.03
2011-08-25,11.5,11.5,10.5,10.5,2.36
2011-08-26,10.0,10.0,10.0,10.0,1.1
2011-08-27,10.0,10.0,10.0,10.0,1.1
2011-08-28,10.0,10.0,10.0,10.0,1.1
2011-08-29,10.0,10.0,10.0,10.0,1.1
2011-08-30,10.0,10.0,10.0,10.0,1.1
2011-08-31,8.0,8.0,8.0,8.0,1.0
2011-09-01,8.0,8.0,8.0,8.0,1.0
2011-09-02,8.0,8.31,5.25,8.22,164.48
2011-09-03,8.12,8.88,8.0,8.88,79.76
2011-09-04,8.12,8.88,8.0,8.88,79.76
2011-09-05,8.89,8.89,8.89,8.89,0.2
2011-09-06,8.89,8.89,8.89,8.89,0.2
2011-09-07,8.0,8.0,8.0,8.0,21.0
2011-09-08,8.5,8.5,8.5,8.5,3.0
2011-09-09,7.98,7.98,7.4,7.4,6.86
2011-09-10,7.98,7.98,7.4,7.4,6.86
2011-09-11,7.98,7.98,7.4,7.4,6.86
2011-09-12,7.98,7.98,7.4,7.4,6.86
2011-09-13,7.98,7.98,7.4,7.4,6.86
2011-09-14,5.8,6.0,5.65,5.97,58.37
2011-09-15,5.58,5.72,5.52,5.53,61.15
2011-09-16,5.12,5.24,5.0,5.13,80.14
2011-09-17,4.82,4.87,4.8,4.85,39.91
2011-09-18,4.87,4.87,4.87,4.87,0.3
2011-09-19,4.87,4.92,4.81,4.92,119.81
2011-09-20,4.9,4.9,4.9,4.9,20.0
2011-09-21,4.92,5.66,4.92,5.66,89.28
2011-09-22,5.7,5.79,5.66,5.66,17.63
2011-09-23,5.68,5.72,5.68,5.72,43.78
2011-09-24,5.7,5.72,5.7,5.72,20.68
2011-09-25,5.7,5.76,5.68,5.68,90.59
2011-09-26,6.05,6.05,6.05,6.05,12.22
2011-09-27,6.06,6.06,4.8,4.8,39.58
2011-09-28,4.85,4.92,4.85,4.92,24.35
2011-09-29,4.9,4.91,4.82,4.82,83.05
2011-09-30,4.81,4.82,4.81,4.82,46.96
2011-10-01,4.81,4.82,4.81,4.82,46.96
2011-10-02,4.81,4.82,4.81,4.82,46.96
2011-10-03,4.81,4.82,4.81,4.82,46.96
2011-10-04,4.85,4.87,4.83,4.87,30.58
2011-10-05,4.86,5.3,4.8,4.98,142.52
2011-10-06,4.92,6.25,4.8,4.92,113.72
2011-10-07,4.88,4.99,4.8,4.8,170.84
2011-10-08,4.8,4.81,4.59,4.61,94.64
2011-10-09,4.57,4.57,3.99,3.99,56.0
2011-10-10,3.89,3.89,3.89,3.89,11.0
2011-10-11,3.99,4.51,3.99,4.51,132.5
2011-10-12,3.98,4.1,3.98,4.1,78.08
2011-10-13,3.95,3.99,3.93,3.93,79.52
2011-10-14,3.93,3.97,3.93,3.97,109.62
2011-10-15,4.05,4.05,4.05,4.05,96.98
2011-10-16,4.05,4.05,4.05,4.05,96.98
2011-10-17,4.05,4.05,4.05,4.05,96.98
2011-10-18,3.92,3.92,3.92,3.92,10.24
2011-10-19,3.92,3.92,3.92,3.92,10.24
2011-10-20,3.92,3.92,3.92,3.92,10.24
2011-10-21,2.22,2.29,2.22,2.24,61.97
2011-10-22,2.22,2.27,2.22,2.27,41.46
2011-10-23,2.22,2.27,2.22,2.27,41.46
2011-10-24,2.22,2.27,2.22,2.27,41.46
2011-10-25,2.99,2.99,2.92,2.92,64.54
2011-10-26,2.66,2.72,2.66,2.72,130.3
2011-10-27,2.72,3.0,2.67,2.69,268.27
2011-10-28,2.72,3.0,2.67,2.69,268.27
2011-10-29,3.07,4.36,3.07,4.2,118.38
2011-10-30,3.69,4.4,3.69,3.95,88.43
2011-10-31,3.85,3.85,3.2,3.5,116.38
2011-11-01,3.25,3.55,3.2,3.3,68.99
2011-11-02,3.32,3.33,3.32,3.33,38.78
2011-11-03,3.32,3.33,3.32,3.33,38.78
2011-11-04,3.32,3.33,3.32,3.33,38.78
2011-11-05,3.27,3.55,3.21,3.55,117.08
2011-11-06,3.21,3.21,3.0,3.0,103.51
2011-11-07,2.95,2.95,2.95,2.95,203.39
2011-11-08,2.95,2.95,2.95,2.95,203.39
2011-11-09,3.08,3.08,3.08,3.08,47.47
2011-11-10,3.09,3.3,3.09,3.3,58.86
2011-11-11,3.25,3.3,2.95,3.3,121.67
2011-11-12,3.3,3.3,3.3,3.3,65.43
2011-11-13,3.35,3.35,3.35,3.35,2.79
2011-11-14,3.35,3.35,3.35,3.35,29.49
2011-11-15,2.95,2.95,2.47,2.47,183.4
2011-11-16,2.99,3.0,2.5,2.5,97.34
2011-11-17,2.51,3.0,2.51,3.0,5.62
2011-11-18,3.0,3.0,2.5,2.99,17.02
2011-11-19,2.5,2.79,2.5,2.5,88.44
2011-11-20,2.5,2.5,2.43,2.43,48.87
2011-11-21,2.37,2.37,2.37,2.37,11.0
2011-11-22,2.45,3.0,2.25,2.25,290.53
2011-11-23,2.53,2.59,2.46,2.59,328.49
2011-11-24,2.53,2.59,2.46,2.59,328.49
2011-11-25,2.54,3.0,2.54,3.0,9.14
2011-11-26,2.5,15.0,2.5,2.75,179.79
2011-11-27,2.77,2.77,2.77,2.77,10.09
2011-11-28,2.77,2.77,2.77,2.77,10.09
2011-11-29,2.67,2.78,2.66,2.66,180.37
2011-11-30,2.69,3.23,2.69,2.72,62.46
2011-12-01,3.19,3.19,3.19,3.19,14.54
2011-12-02,3.46,3.48,3.3,3.42,233.78
2011-12-03,3.45,3.45,3.04,3.04,131.76
2011-12-04,2.93,2.93,2.93,2.93,0.5
2011-12-05,2.93,2.93,2.93,2.93,0.5
2011-12-06,2.82,2.99,2.82,2.93,207.36
2011-12-07,2.9,3.25,2.89,2.98,216.11
2011-12-08,3.05,3.35,3.05,3.3,233.21
2011-12-09,3.27,3.5,2.95,3.3,115.72
2011-12-10,3.27,3.5,2.95,3.3,115.72
2011-12-11,3.2,3.2,3.0,3.2,12.28
2011-12-12,3.17,3.37,3.17,3.27,157.78
2011-12-13,3.37,3.6,3.37,3.48,75.62
2011-12-14,3.25,3.59,3.25,3.56,66.15
2011-12-15,3.42,3.49,3.42,3.47,90.76
2011-12-16,3.39,3.45,3.39,3.45,102.74
2011-12-17,3.25,3.5,3.25,3.44,84.61
2011-12-18,3.25,3.5,3.25,3.44,84.61
2011-12-19,3.25,3.5,3.25,3.5,17.24
2011-12-20,3.5,3.98,3.5,3.85,134.73
2011-12-21,4.75,4.75,4.53,4.55,94.74
2011-12-22,4.38,4.38,4.38,4.38,20.9
2011-12-23,4.19,4.19,4.17,4.17,8.54
2011-12-24,3.86,4.35,3.84,4.22,149.49
2011-12-25,4.33,4.33,4.33,4.33,27.22
2011-12-26,4.32,4.32,4.27,4.27,24.18
2011-12-27,4.27,4.33,4.27,4.33,56.74
2011-12-28,4.33,4.33,4.29,4.29,58.07
2011-12-29,4.29,4.3,4.25,4.3,35.55
2011-12-30,4.3,4.5,4.3,4.5,36.56
2011-12-31,4.26,4.5,4.21,4.21,56.74
2012-01-01,4.39,4.58,4.39,4.58,95.32
2012-01-02,4.58,5.0,4.58,5.0,21.6
2012-01-03,5.0,5.0,5.0,5.0,19.05
2012-01-04,5.32,5.32,5.14,5.29,88.04
2012-01-05,4.93,5.57,4.93,5.57,107.23
2012-01-06,5.72,6.65,5.72,6.65,94.8
2012-01-07,6.65,6.9,6.0,6.0,33.88
2012-01-08,6.8,6.8,6.8,6.8,0.3
2012-01-09,6.9,7.0,6.9,7.0,5.0
2012-01-10,6.99,6.99,6.23,6.3,66.87
2012-01-11,6.24,7.14,6.24,7.14,62.29
2012-01-12,7.14,7.33,6.25,7.0,105.36
2012-01-13,6.95,7.38,6.51,6.51,82.3
2012-01-14,6.8,7.36,6.6,6.6,48.97
2012-01-15,6.5,6.5,6.3,6.3,16.84
2012-01-16,7.15,7.15,7.15,7.15,16.7
2012-01-17,6.2,7.1,6.2,7.1,12.65
2012-01-18,6.5,6.9,6.0,6.0,80.51
2012-01-19,5.99,7.1,5.99,7.1,133.45
2012-01-20,5.52,7.0,5.52,6.22,246.72
2012-01-21,6.9,6.95,6.55,6.95,95.83
2012-01-22,6.3,6.77,6.28,6.77,81.41
2012-01-23,6.79,6.83,6.03,6.79,81.27
2012-01-24,6.5,6.52,6.0,6.52,94.92
2012-01-25,6.52,6.57,6.0,6.55,85.45
2012-01-26,6.26,6.86,6.0,6.31,81.12
2012-01-27,6.27,6.3,5.5,5.5,29.92
2012-01-28,3.8,6.03,3.8,5.88,92.08
2012-01-29,4.91,4.91,4.91,4.91,0.25
2012-01-30,5.89,5.9,5.3,5.5,9.45
2012-01-31,5.3,5.58,5.3,5.58,15.16
2012-02-01,5.7,6.22,3.8,5.3,110.5
2012-02-02,5.53,5.99,5.52,5.88,12.06
2012-02-03,5.99,6.28,5.89,6.28,251.0
2012-02-04,6.29,6.35,5.93,6.3,155.55
2012-02-05,6.35,6.5,5.94,5.94,67.63
2012-02-06,5.93,6.15,5.6,5.6,47.85
2012-02-07,5.6,5.9,5.2,5.6,29.18
2012-02-08,5.5,5.88,5.5,5.69,165.41
2012-02-09,5.79,5.87,5.66,5.87,83.57
2012-02-10,5.52,5.89,5.51,5.89,83.6
2012-02-11,5.88,5.88,5.8,5.88,176.93
2012-02-12,5.71,5.71,5.5,5.5,1.88
2012-02-13,5.78,5.78,5.55,5.67,64.84
2012-02-14,5.53,5.79,5.5,5.79,99.78
2012-02-15,5.2,5.8,4.56,4.89,128.34
2012-02-16,4.9,5.08,4.69,4.69,67.79
2012-02-17,4.5,4.98,4.15,4.51,115.62
2012-02-18,4.67,4.8,4.5,4.67,244.67
2012-02-19,4.67,4.73,4.14,4.23,254.39
2012-02-20,4.38,4.38,4.3,4.38,92.68
2012-02-21,4.72,4.72,4.4,4.44,315.94
2012-02-22,4.52,4.58,4.3,4.58,358.45
2012-02-23,4.47,4.59,4.46,4.51,75.31
2012-02-24,4.59,5.22,4.55,5.22,714.84
2012-02-25,5.12,5.22,4.95,4.95,37.6
2012-02-26,5.11,5.11,5.0,5.0,119.81
2012-02-27,4.79,5.07,4.78,4.98,40.9
2012-02-28,4.97,5.1,4.95,5.04,309.05
2012-02-29,5.09,5.1,4.71,4.88,440.24
2012-03-01,4.97,5.0,4.85,4.99,242.24
2012-03-02,4.99,5.05,4.9,5.0,291.16
2012-03-03,4.99,4.99,4.64,4.79,245.97
2012-03-04,4.81,4.99,4.6,4.65,125.92
2012-03-05,4.78,4.81,4.77,4.81,113.61
2012-03-06,4.8,5.06,4.77,5.06,518.05
2012-03-07,5.0,5.05,4.95,4.98,296.63
2012-03-08,5.05,5.09,4.93,4.93,373.49
2012-03-09,4.94,5.08,4.87,5.01,326.57
2012-03-10,5.01,5.07,4.93,4.93,277.59
2012-03-11,4.91,4.99,4.85,4.94,114.05
2012-03-12,4.94,5.0,4.84,5.0,24.68
2012-03-13,4.85,4.99,4.85,4.99,108.76
2012-03-14,4.99,5.32,4.96,5.3,734.65
2012-03-15,5.32,5.44,5.27,5.27,1129.74
2012-03-16,5.27,5.43,5.27,5.39,633.17
2012-03-17,5.3,5.41,5.26,5.26,157.7
2012-03-18,5.38,5.42,5.38,5.42,143.87
2012-03-19,5.41,5.42,5.24,5.25,412.66
2012-03-20,5.24,5.37,4.83,4.83,415.19
2012-03-21,4.82,4.97,4.79,4.79,279.76
2012-03-22,4.9,4.96,4.9,4.96,9.33
2012-03-23,4.86,4.98,4.72,4.91,396.41
2012-03-24,4.73,4.89,4.6,4.78,393.13
2012-03-25,4.72,4.83,4.62,4.83,191.54
2012-03-26,4.61,4.84,4.54,4.54,15.47
2012-03-27,4.6,4.75,4.54,4.73,64.76
2012-03-28,4.54,4.97,4.54,4.84,369.59
2012-03-29,4.75,4.95,4.72,4.93,418.65
2012-03-30,4.93,4.93,4.77,4.84,110.39
2012-03-31,4.81,4.91,4.76,4.88,161.4
2012-04-01,4.9,4.92,4.89,4.9,158.37
2012-04-02,4.89,4.89,4.77,4.89,308.51
2012-04-03,4.8,5.04,4.78,5.04,888.58
2012-04-04,5.04,5.04,4.86,4.99,244.3
2012-04-05,4.92,5.01,4.86,5.01,305.44
2012-04-06,4.99,5.04,4.89,5.0,400.86
2012-04-07,4.9,4.99,4.81,4.99,725.96
2012-04-08,4.94,4.94,4.7,4.7,228.66
2012-04-09,4.8,4.8,4.69,4.76,177.22
2012-04-10,4.7,4.85,4.7,4.75,158.56
2012-04-11,4.75,4.87,4.75,4.8,314.82
2012-04-12,4.86,4.92,4.78,4.92,425.6
2012-04-13,4.87,4.93,4.73,4.93,756.79
2012-04-14,4.88,4.95,4.81,4.93,1102.27
2012-04-15,4.94,5.01,4.94,4.96,544.65
2012-04-16,4.96,4.99,4.92,4.99,114.97
2012-04-17,4.93,4.98,4.93,4.98,487.01
2012-04-18,4.99,4.99,4.95,4.98,282.52
2012-04-19,4.98,5.18,4.98,5.16,839.93
2012-04-20,5.17,5.18,5.06,5.13,562.65
2012-04-21,5.15,5.38,5.09,5.38,372.84
2012-04-22,5.4,5.43,5.19,5.24,301.94
2012-04-23,5.24,5.25,5.17,5.17,139.57
2012-04-24,5.2,5.25,5.0,5.0,947.46
2012-04-25,4.99,5.15,4.98,5.08,1975.83
2012-04-26,5.12,5.14,4.86,5.14,1634.21
2012-04-27,5.1,5.12,4.86,4.98,762.13
2012-04-28,5.03,5.08,4.99,5.04,718.01
2012-04-29,5.07,5.07,4.85,4.91,205.03
2012-04-30,4.92,4.96,4.81,4.91,62.88
2012-05-01,4.92,5.02,4.87,5.0,490.58
2012-05-02,4.94,5.04,4.86,4.97,831.75
2012-05-03,5.01,5.15,5.01,5.06,495.32
2012-05-04,5.06,5.13,5.05,5.1,645.09
2012-05-05,5.1,5.15,5.07,5.07,776.04
2012-05-06,5.09,5.11,5.04,5.04,415.57
2012-05-07,5.06,5.1,5.02,5.08,1234.05
2012-05-08,5.05,5.08,4.97,5.05,874.48
2012-05-09,5.06,5.08,4.99,5.02,640.56
2012-05-10,5.02,5.08,5.01,5.02,350.28
2012-05-11,5.02,5.04,4.87,4.87,907.11
2012-05-12,4.97,4.97,4.87,4.95,413.83
2012-05-13,4.95,4.97,4.91,4.91,219.33
2012-05-14,4.95,4.95,4.94,4.94,395.46
2012-05-15,4.93,4.99,4.88,4.93,718.73
2012-05-16,4.95,5.01,4.9,4.95,601.0
2012-05-17,5.0,5.04,4.98,5.04,178.03
2012-05-18,5.02,5.03,5.01,5.02,611.21
2012-05-19,5.03,5.07,5.03,5.07,912.52
2012-05-20,5.08,5.08,5.05,5.07,168.01
2012-05-21,5.03,5.08,5.03,5.03,26.4
2012-05-22,5.04,5.09,5.01,5.08,354.06
2012-05-23,5.05,5.07,5.0,5.03,678.07
2012-05-24,5.02,5.1,5.02,5.1,558.15
2012-05-25,5.08,5.12,5.04,5.12,904.74
2012-05-26,5.09,5.1,5.08,5.08,274.91
2012-05-27,5.08,5.09,5.06,5.07,388.71
2012-05-28,5.08,5.08,5.0,5.07,913.53
2012-05-29,5.08,5.08,5.07,5.07,180.68
2012-05-30,5.07,5.12,4.95,5.11,1341.51
2012-05-31,5.07,5.14,5.07,5.14,748.4
2012-06-01,5.14,5.17,5.1,5.17,1102.64
2012-06-02,5.17,5.24,5.16,5.22,473.66
2012-06-03,5.2,5.21,5.17,5.19,192.43
2012-06-04,5.19,5.2,5.19,5.19,14.33
2012-06-05,5.18,5.24,5.14,5.22,1359.12
2012-06-06,5.22,5.49,5.22,5.37,929.19
2012-06-07,5.39,5.49,5.37,5.41,770.85
2012-06-08,5.41,5.53,5.4,5.53,1412.88
2012-06-09,5.48,5.63,5.46,5.61,1397.45
2012-06-10,5.6,5.62,5.47,5.48,353.66
2012-06-11,5.54,5.54,5.42,5.42,270.95
2012-06-12,5.48,5.57,5.4,5.52,667.67
2012-06-13,5.57,5.9,5.53,5.71,9330.41
2012-06-14,5.77,6.0,5.71,5.86,1690.2
2012-06-15,5.86,5.91,5.79,5.9,3236.51
2012-06-16,5.88,6.42,5.56,6.42,2041.45
2012-06-17,6.41,6.52,6.12,6.41,1010.14
2012-06-18,6.41,6.47,6.13,6.19,424.19
2012-06-19,6.13,6.34,5.98,6.06,2483.1
2012-06-20,6.13,6.49,6.13,6.46,1389.05
2012-06-21,6.4,6.65,6.26,6.64,2075.98
2012-06-22,6.66,6.69,6.64,6.64,480.84
2012-06-23,6.64,6.67,6.48,6.59,963.16
2012-06-24,6.6,6.61,6.33,6.45,1137.14
2012-06-25,6.35,6.45,6.35,6.4,599.17
2012-06-26,6.35,6.35,6.11,6.26,1956.73
2012-06-27,6.26,6.46,6.17,6.41,2273.1
2012-06-28,6.41,6.68,6.34,6.49,11231.78
2012-06-29,6.49,6.54,5.99,6.5,4266.15
2012-06-30,6.5,6.63,6.49,6.52,8127.56
2012-07-01,6.58,6.61,6.5,6.61,828.05
2012-07-02,6.6,6.62,6.52,6.52,332.44
2012-07-03,6.55,6.64,6.52,6.61,1792.24
2012-07-04,6.61,6.66,6.4,6.44,1936.39
2012-07-05,6.44,6.55,6.36,6.44,2014.69
2012-07-06,6.52,6.66,6.52,6.6,1406.97
2012-07-07,6.59,6.6,6.39,6.59,1662.62
2012-07-08,6.6,6.79,6.56,6.79,1408.48
2012-07-09,6.8,6.8,6.45,6.73,830.37
2012-07-10,6.77,6.99,6.55,6.94,1751.76
2012-07-11,6.95,7.13,6.95,7.08,1495.14
2012-07-12,7.08,7.15,7.04,7.14,751.66
2012-07-13,7.15,7.59,7.1,7.59,2325.84
2012-07-14,7.6,7.69,7.46,7.59,1204.55
2012-07-15,7.58,7.58,7.44,7.55,717.31
2012-07-16,7.55,7.57,7.4,7.57,322.39
2012-07-17,7.57,8.3,7.14,8.3,3680.08
2012-07-18,8.3,8.8,7.7,8.55,3658.9
2012-07-19,8.5,9.15,8.36,9.0,2613.84
2012-07-20,9.06,9.2,8.76,8.76,2512.84
2012-07-21,8.76,8.76,7.93,8.44,1378.67
2012-07-22,8.52,8.91,8.2,8.74,2380.64
2012-07-23,8.74,8.8,8.3,8.42,1483.55
2012-07-24,8.42,8.88,8.1,8.59,2585.86
2012-07-25,8.59,8.8,8.25,8.61,1298.9
2012-07-26,8.59,8.64,8.24,8.64,1795.46
2012-07-27,8.64,8.83,8.45,8.75,837.68
2012-07-28,8.76,8.91,8.76,8.83,687.5
2012-07-29,8.83,9.0,8.78,8.88,1498.93
2012-07-30,8.79,8.79,8.7,8.71,590.37
2012-07-31,8.7,9.0,8.54,9.0,2423.61
2012-08-01,9.0,9.28,8.92,9.28,1324.43
2012-08-02,9.28,9.5,8.9,9.45,2419.61
2012-08-03,9.45,10.52,9.4,10.44,2209.71
2012-08-04,10.4,12.0,10.1,10.79,2419.41
2012-08-05,10.96,11.2,10.5,10.51,635.37
2012-08-06,10.93,10.93,10.29,10.71,1906.76
2012-08-07,10.71,10.99,10.43,10.84,2070.08
2012-08-08,10.86,10.87,10.72,10.75,1039.04
2012-08-09,10.75,11.04,10.7,10.99,2746.09
2012-08-10,11.0,12.49,10.79,11.0,2432.99
2012-08-11,11.0,11.5,10.9,11.32,2554.44
2012-08-12,11.32,11.4,11.25,11.38,358.82
2012-08-13,11.4,11.69,11.34,11.49,838.43
2012-08-14,11.42,11.98,11.4,11.89,3499.59
2012-08-15,11.9,12.3,11.81,12.25,1925.97
2012-08-16,12.13,13.2,12.13,13.01,1592.27
2012-08-17,13.14,13.5,12.75,13.42,1529.33
2012-08-18,13.49,16.41,11.5,12.5,4868.28
2012-08-19,12.64,12.99,11.11,11.54,2511.37
2012-08-20,11.86,11.86,7.1,8.06,5427.25
2012-08-21,8.09,10.33,7.86,10.05,3382.5
2012-08-22,9.79,10.51,9.53,10.18,3384.92
2012-08-23,9.99,10.71,9.75,9.96,8193.33
2012-08-24,9.96,10.19,9.78,10.02,2710.26
2012-08-25,10.03,10.51,9.83,10.37,4170.89
2012-08-26,10.45,10.58,10.14,10.57,581.27
2012-08-27,10.57,10.62,10.2,10.31,1412.06
2012-08-28,10.31,11.93,10.31,10.78,4283.77
2012-08-29,10.9,11.21,10.63,11.0,2970.1
2012-08-30,11.0,11.05,10.49,10.78,4768.86
2012-08-31,10.81,10.91,10.51,10.65,1513.88
2012-09-01,10.65,10.8,9.69,10.16,2915.13
2012-09-02,10.2,10.2,9.85,9.91,665.2
2012-09-03,10.07,10.18,9.49,10.18,1340.45
2012-09-04,10.17,10.55,9.95,10.55,1166.65
2012-09-05,10.36,10.5,10.14,10.36,2649.66
2012-09-06,10.38,10.99,10.12,10.99,1870.39
2012-09-07,10.9,11.15,10.68,11.02,3296.23
2012-09-08,11.03,11.1,10.83,11.03,1351.77
2012-09-09,10.98,11.11,10.3,10.97,1355.13
2012-09-10,10.97,11.04,10.84,10.98,1216.12
2012-09-11,10.85,11.08,10.74,10.95,2492.06
2012-09-12,10.95,11.04,10.38,11.04,4794.96
2012-09-13,11.04,11.14,10.75,11.14,2414.69
2012-09-14,11.17,11.42,10.98,11.3,2138.98
2012-09-15,11.26,11.7,11.05,11.5,2127.29
2012-09-16,11.6,11.65,11.35,11.63,594.79
2012-09-17,11.63,11.8,11.53,11.75,1287.41
2012-09-18,11.75,11.88,11.58,11.85,689.94
2012-09-19,11.85,12.28,11.67,11.91,3735.02
2012-09-20,11.9,12.5,11.9,12.32,1251.58
2012-09-21,12.44,12.66,12.28,12.28,767.93
2012-09-22,12.29,12.35,12.01,12.19,1990.39
2012-09-23,12.14,12.25,11.97,11.97,818.05
2012-09-24,12.11,12.11,11.79,11.99,1084.46
2012-09-25,11.99,11.99,11.69,11.9,1523.2
2012-09-26,11.9,12.18,11.56,11.75,3057.45
2012-09-27,11.8,12.2,11.53,12.2,3038.11
2012-09-28,12.2,12.38,11.84,12.22,3306.15
2012-09-29,12.21,12.28,11.53,12.28,2842.62
2012-09-30,12.28,12.28,12.12,12.28,584.15
2012-10-01,12.2,12.28,12.17,12.22,173.21
2012-10-02,12.21,12.27,11.6,12.14,3151.93
2012-10-03,12.2,12.7,12.14,12.64,4634.42
2012-10-04,12.63,12.99,12.45,12.9,4948.46
2012-10-05,12.9,12.9,12.51,12.57,3211.89
2012-10-06,12.61,12.7,11.5,12.5,5459.56
2012-10-07,12.51,12.6,12.06,12.39,1640.42
